dateStart;dateEnd;occurrenceType;name;img;links;trainingCenter_name;trainingCenter_logo;trainingCenter_address;trainingCenter_postalCode;trainingCenter_city;trainingCenter_url;trainingCenter_lat;trainingCenter_lng;level;objectives;jobs;comment;enterprise_name;enterprise_logo;enterprise_address;enterprise_postalCode;enterprise_city;enterprise_url;enterprise_lat;enterprise_lng;technologicalCategories;workstudy
01/09/1999;31/07/2001;qualification;BEP Electronique;;;LP Pierre Mandes France;./image/pierre-mendes-france-veynes.svg;Place des Aires;5400;Veynes;https://www.lpmendesfrance.com;44.534274;5.8218544;BEP;Analyser, mesurer et conceptualiser des éléments électroniques.;Technicien électronicien;;;;;;;;;;;
01/09/2001;31/07/2003;qualification;Bac Pro MRIM;;;LP Pierre Mandes France;./image/pierre-mendes-france-veynes.svg;Place des Aires;5400;Veynes;https://www.lpmendesfrance.com;44.534274;5.8218544;Bac;Installation et la maintenance de parc informatique et aux technologies des réseaux qui les interconnectent.;"Technicien de Maintenance en Informatique;Technicien Systèmes & Réseaux;Responsable du Service Après-vente";;;;;;;;;;;
24/01/2004;19/11/2004;qualification;BAT SITEL;;;Maistrance;./image/Logo_Marine_Nationale.png;Avenue de l'École Navale;29200;Brest;https://www.defense.gouv.fr/marine/ressources-humaines/ecoles-et-formations/formations-initiales/ecole-de-maistrance/ecole-de-maistrance/ecole-de-maistrance;48.380352;-4.5270928;Bac;Le Brevet d’Aptitude Technique des Systèmes d’Informations et de Télécommunication est le diplôme qui conditionne l’obtention du statut de Sous-Officier de la branche IT de la Marine Nationale.;"Technicien Systèmes & Réseaux;Technicien de Transmission;Responsable de Cellule Informatique;Responsable P.C. Télécom";;;;;;;;;;;
01/09/2015;31/07/2016;qualification;BTS SIO SLAM;;RNCP=https://www.francecompetences.fr/recherche/rncp/17108;Greta Saint Malo;./image/Logo_Marine_Nationale.png;1 Rue Pierre de Coubertin;35400;Saint-Malo;https://greta-bretagne.ac-rennes.fr/portail/web/greta-est-bretagne/st-malo;48.6402075;-2.0047802;Bac+2;Brevet de Technicien Supérieur Services Informatiques aux Organisations Solutions Logicielles et Applications Métiers est le résultat d'une formation à la définition des spécifications techniques à partir des besoins des utilisateurs, réalisation et validation de solutions applicatives, gestion du patrimoine applicatif, rédaction de la documentation technique et formation des utilisateurs, accompagnement et assistance aux utilisateurs, maintien de la qualité des services informatiques.;"Analyste d'applications;Analyste d'études;Analyste programmeur;Chargé d'études informatiques;Développeur d'applications informatiques;Informaticien d'études;Responsable des services applicatifs;Technicien d'études informatiques";;;;;;;;;;;
01/09/2017;02/12/2019;qualification;Titre Professionnel Concepteur Développeur Informatique;;RNCP=https://www.francecompetences.fr/recherche/rncp/6255/;ENI Ecole Informatique;./image/logo-eni.png;ZAC de La Conterie 8 Rue Léo Lagrange;35131;Chartres-de-Bretagne;https://www.eni-ecole.fr/;48.0389;-1.692148;Bac+4;Le concepteur développeur informatique prend en charge la conception et le développement d'applications informatiques. Il agit avec autonomie et, le cas échéant, avec des responsabilités d'animation et de coordination, dans le cadre de projets visant à automatiser un ou plusieurs processus de l'entreprise. Ces projets font suite à des demandes formulées directement par un client, par une maîtrise d'ouvrage ou par l'intermédiaire d'un chef de projet, afin de réaliser de nouvelles applications ou la maintenance évolutive d'applications existantes.;"Développeur informatique;Développeur d'applications mobiles;Développeur web;Analyste programmeur;Informaticien d'application;Informaticien de développement;Concepteur d'applications;Concepteur développeur;Ingénieur d'études et développement";;;;;;;;;;;
01/12/2004;30/06/2007;experience;Responsable Service Informatique;;;;;;;;;;;;;;Au centre de transmissions des forces sous-marine, j'étais en tant que sous-officier, responsable de la gestion du parc informatique et à la tête d'une petite équipe de trois personnes. Dans ce centre opérationnel, les obligations d'astreinte m'ont amené à intégrer les équipes de sécurité, de maintenance et surveillance des installations VLF avec l'acquisition de connaissance et de compétence en gestion des fluides et de l'énergie des installations du site.;Centre de transmissions de la Marine Nationale;./image/Logo_Marine_Nationale.png;;36300;Rosnay;https://www.defense.gouv.fr/marine;46.6999562;1.2137945;"name=Windows Server,logo=./image/windows-server.jpg;name=PHP,logo=./image/php.png";
01/07/2007;26/01/2010;experience;Développeur Informatique;;;;;;;;;;;;;;Etat-major de la Marine Nationale, dans une période de réductions d'effectif, j'occupais l'équivalent de trois fiches de poste. Webmaster, en gérant la publication et la mise à jour du contenu du portail web Intramar. Développeur Open Source sur des projets interne comme eFicsys (portail de suivi et de gestion pour la Sécurité des Systèmes d'Information et la Lute Informatique Deffenssive). J'étais aussi en charge de la gestion de l'attribution de matériel informatique et de la sensibilisation aux bonnes pratiques d'utilisation selon les normes militaires en vigueur.;Etat Major de la Marine Nationale;./image/Logo_Marine_Nationale.png;2 Place de la Concorde;75008;Paris;https://www.defense.gouv.fr/marine;48.8666786;2.322897;"name=PHP,logo=./image/php.png;name=HTML/CSS,logo=./image/htmlcsslogo.png";
01/07/2010;11/04/2011;experience;Développeur Informatique;;;;;;;;;;;;;;L'occitane est une entreprise de cosmétique internationale. Dans le cadre d'une évolution de version de leur plateforme Sharepoint, j'ai contribué à adapter leurs anciens formulaires électroniques à la nouvelle version de la plateforme et à créer de nouveau formulaire et workflow pour remplacer les anciennes procédures papiers.;L'Occitane en Provence;./image/Occitane_en_Provence.png;ZI Saint-Maurice;4100;Manosque;https://fr.loccitane.com;43.7985832;5.8155087;"name=SharePoint,logo=./image/sharepoint.jpg;name=Javascript,logo=./image/javascript.jpg";
09/01/2012;08/01/2013;experience;Développeur Informatique;;;;;;;;;;;;;;Petite ville des Hautes Alpes qui a eu besoin de restructurer son site web et de répondre aux normes de compatibilité aux handicapés visuels (RGAA). J’ai aussi eu le rôle d’apporter une assistance informatique aux utilisateurs et de les former à la nouvelle plateforme web.;Mairie de Laragne-Montéglin;./image/Logo_Ville_Laragne.png;2 Avenue Arthur Audibert;5300;Laragne-Montéglin;http://www.laragne.net;44.3154923;5.8213529;"name=Joomla,logo=./image/joomla.png;name=PHP,logo=./image/php.png;name=HTML/CSS,logo=./image/htmlcsslogo.png;name=Javascript,logo=./image/javascript.png;name=jQuery,logo=./image/jQuery.png";
30/09/2013;26/09/2014;experience;Responsable Service Informatique;;;;;;;;;;;;;;Novalelec était une holding articulé principalement autour de deux entreprises. La première, LedProof, productrice de luminaire à technologie LED pour des environnements industriels. La seconde, SAS Saint-Cierge, spécialisé en électricité du bâtiment.;Novaelec;./image/Novaelec.png;Zone Artisanale;26540;Mours Saint Eusebe;;45.0633;5.054423;name=Windows Server,logo=./image/windows-server.jpg;
05/09/2016;11/04/2017;experience;Développeur Informatique;;;;;;;;;;;;;;Entreprise de développement d'application et notamment de plateforme de gestion de territoire économique, de médiation et d’assistance.;Actedev;./image/Actedev.jpg;44 Rue du Grand Jardin;35400;Saint-Malo;http://www.actedev.fr;48.629438;-1.985485;name=WebDev,logo=./image/PCSoft.jpg;
16/04/2018;29/11/2019;experience;Concepteur Développeur d'Application;;;;;;;;;;;;;;Atlantique Fuite et Détection est un groupe d'entreprise de recherche de fuite et d'assèchement pour laquelle j'ai développé une application métier de production de rapport d'intervention interconnectée avec leur CRM. Le projet a permis d'automatiser la mise en page, d'avoir accès à des modèles de rapport en fonction des situations, d'avoir un workflow de validation dynamique et adaptatif, de produire un PDF à destination des clients et des assurances et de gérer l'historique des interventions.;Groupe AFD;./image/Groupe_AFD.png;37 impasse Marie Curie - ZA Les Métairies;56130;Nivillac;https://www.atlantic-fuite.com/;47.518569;-2.282919;"name=Symfony 3,logo=./image/symfony.png;name=JavaScript,logo=./image/javascript.png";
